TeamID,TeamName,Seed,SeedNum,Region,Round of 64,Round of 32,Sweet 16,Elite Eight,Final Four,Championship,Champion
1202,Furman,W15,15,W,1.0,0.0201,0.0012,0.0001,0.0,0.0,0.0
1460,Wright St,Y14,14,Y,1.0,0.0473,0.0028,0.0002,0.0,0.0,0.0
1465,Cal Baptist,W13,13,W,1.0,0.0872,0.01,0.0004,0.0,0.0,0.0
1373,Siena,W16,16,W,1.0,0.0018,0.0001,0.0,0.0,0.0,0.0
1341,Prairie View,X16b,16,X,1.0,0.0004,0.0,0.0,0.0,0.0,0.0
1218,Hawaii,Z13,13,Z,1.0,0.0769,0.0144,0.0006,0.0,0.0,0.0
1219,High Point,Z12,12,Z,1.0,0.1564,0.026,0.0014,0.0,0.0,0.0
1220,Hofstra,Y13,13,Y,1.0,0.0891,0.0161,0.0012,0.0005,0.0001,0.0
1474,Queens NC,Z15,15,Z,1.0,0.0119,0.0009,0.0001,0.0,0.0,0.0
1225,Idaho,X15,15,X,1.0,0.0246,0.0033,0.0002,0.0,0.0,0.0
1103,Akron,Y12,12,Y,1.0,0.1569,0.0293,0.0019,0.0003,0.0,0.0
1407,Troy,X13,13,X,1.0,0.0427,0.003,0.0,0.0,0.0,0.0
