TeamID,TeamName,Seed,SeedNum,Region,Round of 64,Round of 32,Sweet 16,Elite Eight,Final Four,Championship,Champion
1250,Lehigh,X16a,16,X,1.0,0.0008,0.0,0.0,0.0,0.0,0.0
1224,Howard,Y16a,16,Y,1.0,0.0005,0.0,0.0,0.0,0.0,0.0
1244,Kennesaw,Z14,14,Z,1.0,0.0244,0.0021,0.0,0.0,0.0,0.0
1373,Siena,W16,16,W,1.0,0.0025,0.0002,0.0,0.0,0.0,0.0
1420,UMBC,Y16b,16,Y,1.0,0.0008,0.0001,0.0,0.0,0.0,0.0
1295,N Dakota St,W14,14,W,1.0,0.0517,0.0055,0.0008,0.0,0.0,0.0
1275,Miami OH,Y11a,11,Y,1.0,0.0219,0.003,0.0002,0.0,0.0,0.0
1320,Northern Iowa,W12,12,W,1.0,0.1419,0.0299,0.0022,0.0003,0.0001,0.0
1202,Furman,W15,15,W,1.0,0.0194,0.0012,0.0001,0.0,0.0,0.0
1460,Wright St,Y14,14,Y,1.0,0.0492,0.0035,0.0002,0.0,0.0,0.0
1335,Penn,X14,14,X,1.0,0.0192,0.0015,0.0,0.0,0.0,0.0
1465,Cal Baptist,W13,13,W,1.0,0.0873,0.0094,0.0002,0.0,0.0,0.0
1341,Prairie View,X16b,16,X,1.0,0.0004,0.0,0.0,0.0,0.0,0.0
1218,Hawaii,Z13,13,Z,1.0,0.0756,0.0135,0.0006,0.0001,0.0,0.0
1219,High Point,Z12,12,Z,1.0,0.1568,0.026,0.0015,0.0001,0.0,0.0
1220,Hofstra,Y13,13,Y,1.0,0.0882,0.0152,0.0009,0.0,0.0,0.0
1474,Queens NC,Z15,15,Z,1.0,0.0114,0.0009,0.0,0.0,0.0,0.0
1225,Idaho,X15,15,X,1.0,0.0227,0.0022,0.0001,0.0,0.0,0.0
1103,Akron,Y12,12,Y,1.0,0.1579,0.029,0.0014,0.0002,0.0,0.0
1407,Troy,X13,13,X,1.0,0.0417,0.0025,0.0001,0.0,0.0,0.0
